2024-10-24T13:07:13.285015921Z W1024 13:07:13.284879       1 client_config.go:659] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-10-24T13:07:13.285106651Z W1024 13:07:13.285096       1 client_config.go:659] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-10-24T13:07:13.285202951Z I1024 13:07:13.285174       1 main.go:150] setting up manager
2024-10-24T13:07:13.285457901Z I1024 13:07:13.285431       1 main.go:168] registering components
2024-10-24T13:07:13.285457901Z I1024 13:07:13.285444       1 main.go:170] setting up scheme
2024-10-24T13:07:13.285686761Z I1024 13:07:13.285662       1 main.go:208] setting up controllers
2024-10-24T13:07:13.285702011Z I1024 13:07:13.285690       1 config.go:33] using default as failed to load config /var/run/configmaps/config/config.yaml: open /var/run/configmaps/config/config.yaml: no such file or directory
2024-10-24T13:07:13.285708721Z I1024 13:07:13.285698       1 config.go:23] machine approver config: {NodeClientCert:{Disabled:false}}
2024-10-24T13:07:13.285872701Z I1024 13:07:13.285838       1 main.go:233] starting the cmd
2024-10-24T13:07:13.286067171Z I1024 13:07:13.286031       1 server.go:208] "Starting metrics server" logger="controller-runtime.metrics"
2024-10-24T13:07:13.286231411Z I1024 13:07:13.286196       1 leaderelection.go:254] attempting to acquire leader lease openshift-cluster-machine-approver/cluster-machine-approver-leader...
2024-10-24T13:07:13.286397621Z I1024 13:07:13.286362       1 server.go:247] "Serving metrics server" logger="controller-runtime.metrics" bindAddress="127.0.0.1:9191" secure=false
2024-10-24T13:07:13.309335770Z I1024 13:07:13.309297       1 leaderelection.go:268] successfully acquired lease openshift-cluster-machine-approver/cluster-machine-approver-leader
2024-10-24T13:07:13.309580751Z I1024 13:07:13.309558       1 controller.go:175] "Starting EventSource" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" source="kind source: *v1.CertificateSigningRequest"
2024-10-24T13:07:13.309666551Z I1024 13:07:13.309559       1 recorder.go:104] "ci-op-2fcpj5j6-f6035-2lklf-master-1_8a0a5328-f407-456f-9d45-a1e2b0cfcadf became leader" logger="events" type="Normal" object={"kind":"Lease","namespace":"openshift-cluster-machine-approver","name":"cluster-machine-approver-leader","uid":"799c9565-545b-43a3-abfc-935bf13d53c8","apiVersion":"coordination.k8s.io/v1","resourceVersion":"13587"} reason="LeaderElection"
2024-10-24T13:07:13.309666551Z I1024 13:07:13.309575       1 status.go:97] Starting cluster operator status controller
2024-10-24T13:07:13.309684171Z I1024 13:07:13.309626       1 controller.go:175] "Starting EventSource" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" source="kind source: *v1.ConfigMap"
2024-10-24T13:07:13.309722051Z I1024 13:07:13.309694       1 controller.go:183] "Starting Controller" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest"
2024-10-24T13:07:13.309932410Z I1024 13:07:13.309886       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
2024-10-24T13:07:13.309948341Z I1024 13:07:13.309930       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
2024-10-24T13:07:13.313874411Z I1024 13:07:13.313828       1 reflector.go:368] Caches populated for *v1.ClusterOperator from github.com/openshift/cluster-machine-approver/status.go:99
2024-10-24T13:07:13.317465250Z I1024 13:07:13.317393       1 reflector.go:368] Caches populated for *v1.CertificateSigningRequest from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:07:13.442111138Z I1024 13:07:13.442058       1 reflector.go:368] Caches populated for *v1.ConfigMap from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:07:13.519288187Z I1024 13:07:13.519235       1 controller.go:217] "Starting workers" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" worker count=10
