2024-10-24T13:22:00.880858643Z I1024 13:22:00.880478       1 template.go:560] "msg"="starting router" "logger"="router" "version"="majorFromGit: \nminorFromGit: \ncommitFromGit: 40db9007\nversionFromGit: v0.0.0-unknown\ngitTreeState: dirty\nbuildDate: 2024-10-23T22:07:33Z\n"
2024-10-24T13:22:00.887206620Z I1024 13:22:00.887156       1 metrics.go:156] "msg"="router health and metrics port listening on HTTP and HTTPS" "address"="0.0.0.0:1936" "logger"="metrics"
2024-10-24T13:22:00.896948800Z I1024 13:22:00.896874       1 router.go:217] "msg"="creating a new template router" "logger"="template" "writeDir"="/var/lib/haproxy"
2024-10-24T13:22:00.897097371Z I1024 13:22:00.897080       1 router.go:302] "msg"="router will coalesce reloads within an interval of each other" "interval"="5s" "logger"="template"
2024-10-24T13:22:00.897553318Z I1024 13:22:00.897532       1 router.go:372] "msg"="watching for changes" "logger"="template" "path"="/etc/pki/tls/private"
2024-10-24T13:22:00.897644944Z I1024 13:22:00.897631       1 router.go:283] "msg"="router is including routes in all namespaces" "logger"="router"
2024-10-24T13:22:00.923939099Z I1024 13:22:00.923323       1 reflector.go:359] Caches populated for *v1.Route from github.com/openshift/router/pkg/router/controller/factory/factory.go:124
2024-10-24T13:22:00.937297560Z I1024 13:22:00.937245       1 reflector.go:359] Caches populated for *v1.Service from github.com/openshift/router/pkg/router/template/service_lookup.go:33
2024-10-24T13:22:00.941937766Z I1024 13:22:00.939819       1 reflector.go:359] Caches populated for *v1.EndpointSlice from github.com/openshift/router/pkg/router/controller/factory/factory.go:124
2024-10-24T13:22:01.005675939Z E1024 13:22:01.005622       1 haproxy.go:418] can't scrape HAProxy: dial unix /var/lib/haproxy/run/haproxy.sock: connect: no such file or directory
2024-10-24T13:22:01.114045151Z I1024 13:22:01.113991       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:22:06.047750940Z I1024 13:22:06.047690       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:22:11.085450748Z I1024 13:22:11.085399       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:22:16.067500144Z I1024 13:22:16.067429       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:22:30.106186424Z I1024 13:22:30.106121       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:22:41.593396895Z I1024 13:22:41.593328       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:22:46.581964480Z I1024 13:22:46.581864       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:23:01.518096114Z I1024 13:23:01.518023       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:23:43.502963413Z I1024 13:23:43.502868       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
