2024-10-24T13:22:00.988238921Z I1024 13:22:00.988072       1 template.go:560] "msg"="starting router" "logger"="router" "version"="majorFromGit: \nminorFromGit: \ncommitFromGit: 40db9007\nversionFromGit: v0.0.0-unknown\ngitTreeState: dirty\nbuildDate: 2024-10-23T22:07:33Z\n"
2024-10-24T13:22:00.993903044Z I1024 13:22:00.993832       1 metrics.go:156] "msg"="router health and metrics port listening on HTTP and HTTPS" "address"="0.0.0.0:1936" "logger"="metrics"
2024-10-24T13:22:00.999388160Z I1024 13:22:00.999316       1 router.go:217] "msg"="creating a new template router" "logger"="template" "writeDir"="/var/lib/haproxy"
2024-10-24T13:22:00.999459384Z I1024 13:22:00.999423       1 router.go:302] "msg"="router will coalesce reloads within an interval of each other" "interval"="5s" "logger"="template"
2024-10-24T13:22:01.000058939Z I1024 13:22:01.000010       1 router.go:372] "msg"="watching for changes" "logger"="template" "path"="/etc/pki/tls/private"
2024-10-24T13:22:01.000108955Z I1024 13:22:01.000087       1 router.go:283] "msg"="router is including routes in all namespaces" "logger"="router"
2024-10-24T13:22:01.036828336Z I1024 13:22:01.035229       1 reflector.go:359] Caches populated for *v1.Route from github.com/openshift/router/pkg/router/controller/factory/factory.go:124
2024-10-24T13:22:01.056825656Z I1024 13:22:01.056730       1 reflector.go:359] Caches populated for *v1.Service from github.com/openshift/router/pkg/router/template/service_lookup.go:33
2024-10-24T13:22:01.063467661Z I1024 13:22:01.063408       1 reflector.go:359] Caches populated for *v1.EndpointSlice from github.com/openshift/router/pkg/router/controller/factory/factory.go:124
2024-10-24T13:22:01.107344458Z E1024 13:22:01.107297       1 haproxy.go:418] can't scrape HAProxy: dial unix /var/lib/haproxy/run/haproxy.sock: connect: no such file or directory
2024-10-24T13:22:01.185839375Z I1024 13:22:01.185726       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:22:06.153156811Z I1024 13:22:06.153080       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:22:11.185001546Z I1024 13:22:11.184950       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:22:16.286662041Z I1024 13:22:16.286614       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:22:30.133499709Z I1024 13:22:30.133403       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:22:41.611492497Z I1024 13:22:41.611445       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:22:46.602132735Z I1024 13:22:46.602072       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:23:01.650515154Z I1024 13:23:01.650390       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:23:43.557097766Z I1024 13:23:43.557026       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
2024-10-24T13:26:38.387350405Z I1024 13:26:38.387292       1 router.go:669] "msg"="router reloaded" "logger"="template" "output"=" - Checking http://localhost:80 ...\n - Health check ok : 0 retry attempt(s).\n"
