2024-10-24T13:03:33.401458728Z I1024 13:03:33.400718       1 migrator.go:18] FLAG: --add_dir_header="false"
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401395       1 migrator.go:18] FLAG: --alsologtostderr="true"
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401401       1 migrator.go:18] FLAG: --kube-api-burst="1000"
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401407       1 migrator.go:18] FLAG: --kube-api-qps="40"
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401414       1 migrator.go:18] FLAG: --kubeconfig=""
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401421       1 migrator.go:18] FLAG: --log_backtrace_at=":0"
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401429       1 migrator.go:18] FLAG: --log_dir=""
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401434       1 migrator.go:18] FLAG: --log_file=""
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401438       1 migrator.go:18] FLAG: --log_file_max_size="1800"
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401440       1 migrator.go:18] FLAG: --logtostderr="true"
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401443       1 migrator.go:18] FLAG: --one_output="false"
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401445       1 migrator.go:18] FLAG: --skip_headers="false"
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401447       1 migrator.go:18] FLAG: --skip_log_headers="false"
2024-10-24T13:03:33.401458728Z I1024 13:03:33.401449       1 migrator.go:18] FLAG: --stderrthreshold="2"
2024-10-24T13:03:33.401685698Z I1024 13:03:33.401458       1 migrator.go:18] FLAG: --v="2"
2024-10-24T13:03:33.401685698Z I1024 13:03:33.401460       1 migrator.go:18] FLAG: --vmodule=""
2024-10-24T13:03:33.514786012Z I1024 13:03:33.514735       1 kubemigrator.go:110] machineconfiguration-machineconfigpool-storage-version-migration: migration running
2024-10-24T13:03:33.549911866Z I1024 13:03:33.549802       1 kubemigrator.go:127] machineconfiguration-machineconfigpool-storage-version-migration: migration succeeded
2024-10-24T13:03:34.562512497Z I1024 13:03:34.562192       1 kubemigrator.go:110] machineconfiguration-controllerconfig-storage-version-migration: migration running
2024-10-24T13:03:34.598429592Z I1024 13:03:34.598366       1 kubemigrator.go:127] machineconfiguration-controllerconfig-storage-version-migration: migration succeeded
2024-10-24T13:03:47.617413235Z I1024 13:03:47.616887       1 kubemigrator.go:110] flowcontrol-flowschema-storage-version-migration-v1beta3: migration running
2024-10-24T13:03:47.630497666Z W1024 13:03:47.630447       1 warnings.go:70] flowcontrol.apiserver.k8s.io/v1beta3 FlowSchema is deprecated in v1.29+, unavailable in v1.32+; use flowcontrol.apiserver.k8s.io/v1 FlowSchema
2024-10-24T13:03:47.645966509Z W1024 13:03:47.645782       1 warnings.go:70] flowcontrol.apiserver.k8s.io/v1beta3 FlowSchema is deprecated in v1.29+, unavailable in v1.32+; use flowcontrol.apiserver.k8s.io/v1 FlowSchema
2024-10-24T13:03:47.652204500Z W1024 13:03:47.652150       1 warnings.go:70] flowcontrol.apiserver.k8s.io/v1beta3 FlowSchema is deprecated in v1.29+, unavailable in v1.32+; use flowcontrol.apiserver.k8s.io/v1 FlowSchema
2024-10-24T13:03:47.657804680Z W1024 13:03:47.657730       1 warnings.go:70] flowcontrol.apiserver.k8s.io/v1beta3 FlowSchema is deprecated in v1.29+, unavailable in v1.32+; use flowcontrol.apiserver.k8s.io/v1 FlowSchema
2024-10-24T13:03:47.668069561Z W1024 13:03:47.668013       1 warnings.go:70] flowcontrol.apiserver.k8s.io/v1beta3 FlowSchema is deprecated in v1.29+, unavailable in v1.32+; use flowcontrol.apiserver.k8s.io/v1 FlowSchema
2024-10-24T13:03:47.673651772Z W1024 13:03:47.673601       1 warnings.go:70] flowcontrol.apiserver.k8s.io/v1beta3 FlowSchema is deprecated in v1.29+, unavailable in v1.32+; use flowcontrol.apiserver.k8s.io/v1 FlowSchema
2024-10-24T13:03:47.681245743Z W1024 13:03:47.681126       1 warnings.go:70] flowcontrol.apiserver.k8s.io/v1beta3 FlowSchema is deprecated in v1.29+, unavailable in v1.32+; use flowcontrol.apiserver.k8s.io/v1 FlowSchema
