2024-10-24T13:17:57.823941744Z I1024 13:17:57.823744       1 main.go:25] Go Version: go1.22.7 (Red Hat 1.22.7-1.el9_5) X:strictfipsruntime
2024-10-24T13:17:57.823941744Z I1024 13:17:57.823884       1 main.go:26] Go OS/Arch: linux/amd64
2024-10-24T13:17:57.824063134Z I1024 13:17:57.823925       1 leaderelection.go:121] The leader election gives 4 retries and allows for 30s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m43s. Worst graceful lease acquisition is {26s}.
2024-10-24T13:17:57.824380444Z I1024 13:17:57.824248       1 leaderelection.go:121] The leader election gives 4 retries and allows for 13s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m26s. Worst graceful lease acquisition is {26s}.
2024-10-24T13:17:57.824380444Z I1024 13:17:57.824298       1 main.go:99] Watching machine-api objects only in namespace "openshift-machine-api" for reconciliation.
2024-10-24T13:17:57.824809604Z I1024 13:17:57.824778       1 main.go:107] Registering Components.
2024-10-24T13:17:57.834683804Z I1024 13:17:57.834626       1 main.go:119] Starting the Cmd.
2024-10-24T13:17:57.835444204Z I1024 13:17:57.835365       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
2024-10-24T13:17:57.835444204Z I1024 13:17:57.835410       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
2024-10-24T13:17:57.835579244Z I1024 13:17:57.835535       1 reflector.go:305] Starting reflector *v1beta1.Machine (9h20m53.580872379s) from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:17:57.835579244Z I1024 13:17:57.835572       1 reflector.go:341] Listing and watching *v1beta1.Machine from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:17:57.836021334Z I1024 13:17:57.835904       1 reflector.go:305] Starting reflector *v1.Node (10h40m31.675562975s) from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:17:57.836021334Z I1024 13:17:57.835979       1 reflector.go:341] Listing and watching *v1.Node from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:18:57.838173546Z W1024 13:18:57.838101       1 reflector.go:561] sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106: failed to list *v1beta1.Machine: the server was unable to return a response in the time allotted, but may still be processing the request (get machines.machine.openshift.io)
2024-10-24T13:18:57.838273676Z W1024 13:18:57.838189       1 reflector.go:561] sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106: failed to list *v1.Node: the server was unable to return a response in the time allotted, but may still be processing the request (get nodes)
2024-10-24T13:18:57.838355946Z I1024 13:18:57.838326       1 trace.go:236] Trace[180666948]: "Reflector ListAndWatch" name:sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106 (24-Oct-2024 13:17:57.835) (total time: 60002ms):
2024-10-24T13:18:57.838355946Z Trace[180666948]: ---"Objects listed" error:the server was unable to return a response in the time allotted, but may still be processing the request (get machines.machine.openshift.io) 60002ms (13:18:57.838)
2024-10-24T13:18:57.838355946Z Trace[180666948]: [1m0.002582853s] [1m0.002582853s] END
2024-10-24T13:18:57.838417046Z E1024 13:18:57.838394       1 reflector.go:158] "Unhandled Error" err="sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106: Failed to watch *v1beta1.Machine: failed to list *v1beta1.Machine: the server was unable to return a response in the time allotted, but may still be processing the request (get machines.machine.openshift.io)" logger="UnhandledError"
2024-10-24T13:18:57.838434326Z I1024 13:18:57.838397       1 trace.go:236] Trace[754493914]: "Reflector ListAndWatch" name:sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106 (24-Oct-2024 13:17:57.836) (total time: 60002ms):
2024-10-24T13:18:57.838434326Z Trace[754493914]: ---"Objects listed" error:the server was unable to return a response in the time allotted, but may still be processing the request (get nodes) 60002ms (13:18:57.838)
2024-10-24T13:18:57.838434326Z Trace[754493914]: [1m0.002306503s] [1m0.002306503s] END
2024-10-24T13:18:57.838498696Z E1024 13:18:57.838478       1 reflector.go:158] "Unhandled Error" err="sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106: Failed to watch *v1.Node: failed to list *v1.Node: the server was unable to return a response in the time allotted, but may still be processing the request (get nodes)" logger="UnhandledError"
2024-10-24T13:18:59.231100812Z I1024 13:18:59.231008       1 reflector.go:341] Listing and watching *v1beta1.Machine from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:18:59.252597931Z I1024 13:18:59.252508       1 reflector.go:368] Caches populated for *v1beta1.Machine from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:18:59.252831021Z I1024 13:18:59.252778       1 nodelink_controller.go:70] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-a/ci-op-2fcpj5j6-f6035-2lklf-master-0" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:18:59.252919011Z I1024 13:18:59.252902       1 nodelink_controller.go:109] Adding internal IP "10.0.0.3" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:18:59.252979461Z I1024 13:18:59.252963       1 nodelink_controller.go:70] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-b/ci-op-2fcpj5j6-f6035-2lklf-master-1" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:18:59.253034061Z I1024 13:18:59.253012       1 nodelink_controller.go:109] Adding internal IP "10.0.0.4" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:18:59.253080732Z I1024 13:18:59.253066       1 nodelink_controller.go:70] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-c/ci-op-2fcpj5j6-f6035-2lklf-master-2" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-2" to indexer
2024-10-24T13:18:59.253138761Z I1024 13:18:59.253109       1 nodelink_controller.go:109] Adding internal IP "10.0.0.6" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-2" to indexer
2024-10-24T13:18:59.253202812Z I1024 13:18:59.253187       1 nodelink_controller.go:109] Adding internal IP "10.0.128.2" for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x" to indexer
2024-10-24T13:18:59.253247011Z I1024 13:18:59.253233       1 nodelink_controller.go:70] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-a/ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x" for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x" to indexer
2024-10-24T13:18:59.253303831Z I1024 13:18:59.253288       1 nodelink_controller.go:70] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-b/ci-op-2fcpj5j6-f6035-2lklf-worker-b-hj8l2" for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-b-hj8l2" to indexer
2024-10-24T13:18:59.253350841Z I1024 13:18:59.253336       1 nodelink_controller.go:109] Adding internal IP "10.0.128.3" for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-b-hj8l2" to indexer
2024-10-24T13:18:59.253402561Z I1024 13:18:59.253388       1 nodelink_controller.go:70] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-c/ci-op-2fcpj5j6-f6035-2lklf-worker-c-z8hfz" for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-c-z8hfz" to indexer
2024-10-24T13:18:59.253442481Z I1024 13:18:59.253429       1 nodelink_controller.go:109] Adding internal IP "10.0.128.4" for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-c-z8hfz" to indexer
2024-10-24T13:18:59.431416443Z I1024 13:18:59.431344       1 reflector.go:341] Listing and watching *v1.Node from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:18:59.444448763Z I1024 13:18:59.444391       1 reflector.go:368] Caches populated for *v1.Node from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:18:59.444812643Z I1024 13:18:59.444779       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-a/ci-op-2fcpj5j6-f6035-2lklf-master-0" for node "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:18:59.444869673Z I1024 13:18:59.444854       1 nodelink_controller.go:91] Adding internal IP "10.0.0.3" for node "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:18:59.444913353Z I1024 13:18:59.444898       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-b/ci-op-2fcpj5j6-f6035-2lklf-master-1" for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:18:59.444948563Z I1024 13:18:59.444936       1 nodelink_controller.go:91] Adding internal IP "10.0.0.4" for node "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:18:59.444984983Z I1024 13:18:59.444973       1 nodelink_controller.go:91] Adding internal IP "10.0.0.6" for node "ci-op-2fcpj5j6-f6035-2lklf-master-2" to indexer
2024-10-24T13:18:59.445018113Z I1024 13:18:59.445005       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-c/ci-op-2fcpj5j6-f6035-2lklf-master-2" for node "ci-op-2fcpj5j6-f6035-2lklf-master-2" to indexer
2024-10-24T13:18:59.445053523Z I1024 13:18:59.445040       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-a/ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x" for node "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x" to indexer
2024-10-24T13:18:59.445084863Z I1024 13:18:59.445072       1 nodelink_controller.go:91] Adding internal IP "10.0.128.2" for node "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x" to indexer
2024-10-24T13:18:59.445142712Z I1024 13:18:59.445108       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-b/ci-op-2fcpj5j6-f6035-2lklf-worker-b-hj8l2" for node "ci-op-2fcpj5j6-f6035-2lklf-worker-b-hj8l2" to indexer
2024-10-24T13:18:59.445190572Z I1024 13:18:59.445175       1 nodelink_controller.go:91] Adding internal IP "10.0.128.3" for node "ci-op-2fcpj5j6-f6035-2lklf-worker-b-hj8l2" to indexer
2024-10-24T13:18:59.445230593Z I1024 13:18:59.445216       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-c/ci-op-2fcpj5j6-f6035-2lklf-worker-c-z8hfz" for node "ci-op-2fcpj5j6-f6035-2lklf-worker-c-z8hfz" to indexer
2024-10-24T13:18:59.445262743Z I1024 13:18:59.445251       1 nodelink_controller.go:91] Adding internal IP "10.0.128.4" for node "ci-op-2fcpj5j6-f6035-2lklf-worker-c-z8hfz" to indexer
2024-10-24T13:18:59.540364198Z I1024 13:18:59.538433       1 leaderelection.go:254] attempting to acquire leader lease openshift-machine-api/cluster-api-provider-nodelink-leader...
2024-10-24T13:19:04.891244934Z I1024 13:19:04.891189       1 reflector.go:341] Listing and watching *v1beta1.Machine from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:19:04.914324003Z I1024 13:19:04.914270       1 reflector.go:368] Caches populated for *v1beta1.Machine from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:19:04.914712863Z I1024 13:19:04.914445       1 nodelink_controller.go:70] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-a/ci-op-2fcpj5j6-f6035-2lklf-master-0" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:19:04.914816523Z I1024 13:19:04.914796       1 nodelink_controller.go:70] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-a/ci-op-2fcpj5j6-f6035-2lklf-master-0" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:19:04.914907423Z I1024 13:19:04.914890       1 nodelink_controller.go:109] Adding internal IP "10.0.0.3" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:19:04.914961563Z I1024 13:19:04.914931       1 nodelink_controller.go:109] Adding internal IP "10.0.0.3" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:19:04.915041253Z I1024 13:19:04.915020       1 nodelink_controller.go:70] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-b/ci-op-2fcpj5j6-f6035-2lklf-master-1" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:19:04.915108842Z I1024 13:19:04.915092       1 nodelink_controller.go:70] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-b/ci-op-2fcpj5j6-f6035-2lklf-master-1" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:19:04.915182153Z I1024 13:19:04.915165       1 nodelink_controller.go:109] Adding internal IP "10.0.0.4" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:19:04.915243183Z I1024 13:19:04.915213       1 nodelink_controller.go:109] Adding internal IP "10.0.0.4" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-1" to indexer
2024-10-24T13:19:04.915310283Z I1024 13:19:04.915293       1 nodelink_controller.go:70] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-c/ci-op-2fcpj5j6-f6035-2lklf-master-2" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-2" to indexer
2024-10-24T13:19:04.915362253Z I1024 13:19:04.915334       1 nodelink_controller.go:70] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-c/ci-op-2fcpj5j6-f6035-2lklf-master-2" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-2" to indexer
2024-10-24T13:19:04.915410423Z I1024 13:19:04.915397       1 nodelink_controller.go:109] Adding internal IP "10.0.0.6" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-2" to indexer
2024-10-24T13:19:04.915445573Z I1024 13:19:04.915432       1 nodelink_controller.go:109] Adding internal IP "10.0.0.6" for machine "ci-op-2fcpj5j6-f6035-2lklf-master-2" to indexer
2024-10-24T13:19:04.915518233Z I1024 13:19:04.915495       1 nodelink_controller.go:109] Adding internal IP "10.0.128.2" for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x" to indexer
2024-10-24T13:19:04.915568603Z I1024 13:19:04.915541       1 nodelink_controller.go:109] Adding internal IP "10.0.128.2" for machine "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x" to indexer
