2024-10-24T13:05:40.894401857Z I1024 13:05:40.894187       1 main.go:25] Go Version: go1.22.7 (Red Hat 1.22.7-1.el9_5) X:strictfipsruntime
2024-10-24T13:05:40.894550768Z I1024 13:05:40.894534       1 main.go:26] Go OS/Arch: linux/amd64
2024-10-24T13:05:40.894620558Z I1024 13:05:40.894583       1 leaderelection.go:121] The leader election gives 4 retries and allows for 30s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m43s. Worst graceful lease acquisition is {26s}.
2024-10-24T13:05:40.898062058Z I1024 13:05:40.897986       1 leaderelection.go:121] The leader election gives 4 retries and allows for 13s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m26s. Worst graceful lease acquisition is {26s}.
2024-10-24T13:05:40.898144187Z I1024 13:05:40.898094       1 main.go:99] Watching machine-api objects only in namespace "openshift-machine-api" for reconciliation.
2024-10-24T13:05:40.899436827Z I1024 13:05:40.899395       1 main.go:107] Registering Components.
2024-10-24T13:05:40.908914558Z I1024 13:05:40.908836       1 main.go:119] Starting the Cmd.
2024-10-24T13:05:40.909565437Z I1024 13:05:40.909484       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
2024-10-24T13:05:40.909565437Z I1024 13:05:40.909520       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
2024-10-24T13:05:40.909565437Z I1024 13:05:40.909543       1 reflector.go:305] Starting reflector *v1beta1.Machine (10h57m43.582450888s) from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:05:40.909565437Z I1024 13:05:40.909555       1 reflector.go:341] Listing and watching *v1beta1.Machine from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:05:40.909628388Z I1024 13:05:40.909560       1 reflector.go:305] Starting reflector *v1.Node (9h37m48.366243838s) from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:05:40.909628388Z I1024 13:05:40.909572       1 reflector.go:341] Listing and watching *v1.Node from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:05:40.913851558Z I1024 13:05:40.913778       1 reflector.go:368] Caches populated for *v1.Node from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:05:40.913901708Z I1024 13:05:40.913854       1 reflector.go:368] Caches populated for *v1beta1.Machine from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:05:40.913999358Z I1024 13:05:40.913950       1 nodelink_controller.go:57] Adding providerID "gce://XXXXXXXXXXXXXXXXXXXXXXXX/us-central1-a/ci-op-2fcpj5j6-f6035-2lklf-master-0" for node "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
2024-10-24T13:05:40.913999358Z I1024 13:05:40.913976       1 nodelink_controller.go:91] Adding internal IP "10.0.0.3" for node "ci-op-2fcpj5j6-f6035-2lklf-master-0" to indexer
