2024-10-24T13:22:13.667044411Z I1024 13:22:13.666487       1 main.go:66] Using default collectors
2024-10-24T13:22:13.667044411Z I1024 13:22:13.666649       1 main.go:73] Using all namespace
2024-10-24T13:22:13.667044411Z I1024 13:22:13.666662       1 main.go:89] metric white- blacklisting: blacklisting the following items: 
2024-10-24T13:22:13.668035266Z W1024 13:22:13.667968       1 client_config.go:618] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-10-24T13:22:13.668324267Z I1024 13:22:13.668283       1 main.go:114] Starting openshift-state-metrics self metrics server: 127.0.0.1:8082
2024-10-24T13:22:13.668535094Z W1024 13:22:13.668504       1 client_config.go:618] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-10-24T13:22:13.669488620Z W1024 13:22:13.669323       1 client_config.go:618] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-10-24T13:22:13.670073545Z W1024 13:22:13.669657       1 client_config.go:618] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-10-24T13:22:13.670073545Z W1024 13:22:13.670004       1 client_config.go:618] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-10-24T13:22:13.670336385Z W1024 13:22:13.670302       1 client_config.go:618] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-10-24T13:22:13.670598309Z I1024 13:22:13.670567       1 builder.go:105] Active collectors: buildconfigs,builds,clusterresourcequotas,deploymentConfigs,groups,routes
2024-10-24T13:22:13.670598309Z I1024 13:22:13.670586       1 main.go:140] Starting metrics server: 127.0.0.1:8081
2024-10-24T13:22:13.701244565Z W1024 13:22:13.701198       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:22:13.709646011Z W1024 13:22:13.709586       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:26:31.379204201Z W1024 13:26:31.379062       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:31:27.717658445Z W1024 13:31:27.717518       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:32:20.530534881Z W1024 13:32:20.530485       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:32:20.537166095Z W1024 13:32:20.537074       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:33:12.204844288Z W1024 13:33:12.204740       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:35:32.548087607Z W1024 13:35:32.547984       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:45:16.554351803Z W1024 13:45:16.554230       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:48:42.384379079Z W1024 13:48:42.384293       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:50:49.398354145Z W1024 13:50:49.398249       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:54:10.617694513Z W1024 13:54:10.617602       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:56:12.877291006Z W1024 13:56:12.877196       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T13:57:21.587061844Z W1024 13:57:21.586970       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T14:02:25.592196761Z W1024 14:02:25.592113       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T14:04:26.988109833Z W1024 14:04:26.988021       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T14:12:40.998893792Z W1024 14:12:40.998771       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T14:13:25.758635027Z W1024 14:13:25.758557       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T14:18:50.768567881Z W1024 14:18:50.768499       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T14:19:20.886420144Z W1024 14:19:20.886341       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T14:26:15.889195966Z W1024 14:26:15.889060       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T14:32:22.898613902Z W1024 14:32:22.898524       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T14:32:47.290538582Z W1024 14:32:47.290461       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
2024-10-24T14:38:30.302611916Z W1024 14:38:30.302497       1 warnings.go:70] apps.openshift.io/v1 DeploymentConfig is deprecated in v4.14+, unavailable in v4.10000+
