2024-10-24T13:03:35.101171637Z W1024 13:03:35.100956       1 cmd.go:237] Using insecure, self-signed certificates
2024-10-24T13:03:35.101302417Z I1024 13:03:35.101275       1 crypto.go:601] Generating new CA for service-ca-controller-signer@1729775015 cert, and key in /tmp/serving-cert-765449028/serving-signer.crt, /tmp/serving-cert-765449028/serving-signer.key
2024-10-24T13:03:35.358214390Z I1024 13:03:35.358115       1 leaderelection.go:122] The leader election gives 4 retries and allows for 30s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m43s. Worst graceful lease acquisition is {26s}.
2024-10-24T13:03:35.358492789Z I1024 13:03:35.358399       1 observer_polling.go:159] Starting file observer
2024-10-24T13:03:35.384020496Z I1024 13:03:35.383946       1 builder.go:271] service-ca-controller version v3.11.0-439-g1f7d647-
2024-10-24T13:03:35.384900385Z I1024 13:03:35.384871       1 dynamic_serving_content.go:113] "Loaded a new cert/key pair" name="serving-cert::/tmp/serving-cert-765449028/tls.crt::/tmp/serving-cert-765449028/tls.key"
2024-10-24T13:03:35.767700109Z I1024 13:03:35.767591       1 requestheader_controller.go:244] Loaded a new request header values for RequestHeaderAuthRequestController
2024-10-24T13:03:35.773886318Z I1024 13:03:35.773767       1 maxinflight.go:139] "Initialized nonMutatingChan" len=400
2024-10-24T13:03:35.773886318Z I1024 13:03:35.773802       1 maxinflight.go:145] "Initialized mutatingChan" len=200
2024-10-24T13:03:35.773886318Z I1024 13:03:35.773865       1 maxinflight.go:116] "Set denominator for readonly requests" limit=400
2024-10-24T13:03:35.773886318Z I1024 13:03:35.773877       1 maxinflight.go:120] "Set denominator for mutating requests" limit=200
2024-10-24T13:03:35.777768068Z I1024 13:03:35.777664       1 secure_serving.go:57] Forcing use of http/1.1 only
2024-10-24T13:03:35.777768068Z W1024 13:03:35.777694       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256' detected.
2024-10-24T13:03:35.777768068Z W1024 13:03:35.777703       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256' detected.
2024-10-24T13:03:35.777768068Z I1024 13:03:35.777703       1 genericapiserver.go:525] MuxAndDiscoveryComplete has all endpoints registered and discovery information is complete
2024-10-24T13:03:35.782565157Z I1024 13:03:35.782499       1 requestheader_controller.go:169] Starting RequestHeaderAuthRequestController
2024-10-24T13:03:35.782695527Z I1024 13:03:35.782646       1 shared_informer.go:311] Waiting for caches to sync for RequestHeaderAuthRequestController
2024-10-24T13:03:35.782695527Z I1024 13:03:35.782507       1 configmap_cafile_content.go:202] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2024-10-24T13:03:35.782695527Z I1024 13:03:35.782681       1 shared_informer.go:311] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2024-10-24T13:03:35.782753717Z I1024 13:03:35.782588       1 configmap_cafile_content.go:202] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2024-10-24T13:03:35.782753717Z I1024 13:03:35.782736       1 shared_informer.go:311] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
2024-10-24T13:03:35.783237827Z I1024 13:03:35.783212       1 dynamic_serving_content.go:132] "Starting controller" name="serving-cert::/tmp/serving-cert-765449028/tls.crt::/tmp/serving-cert-765449028/tls.key"
2024-10-24T13:03:35.783652867Z I1024 13:03:35.783600       1 tlsconfig.go:200] "Loaded serving cert" certName="serving-cert::/tmp/serving-cert-765449028/tls.crt::/tmp/serving-cert-765449028/tls.key" certDetail="\"localhost\" [serving] validServingFor=[localhost] issuer=\"service-ca-controller-signer@1729775015\" (2024-10-24 13:03:34 +0000 UTC to 2024-11-23 13:03:35 +0000 UTC (now=2024-10-24 13:03:35.783525137 +0000 UTC))"
2024-10-24T13:03:35.784069117Z I1024 13:03:35.783967       1 named_certificates.go:53] "Loaded SNI cert" index=0 certName="self-signed loopback" certDetail="\"apiserver-loopback-client@1729775015\" [serving] validServingFor=[apiserver-loopback-client] issuer=\"apiserver-loopback-client-ca@1729775015\" (2024-10-24 12:03:35 +0000 UTC to 2025-10-24 12:03:35 +0000 UTC (now=2024-10-24 13:03:35.783945397 +0000 UTC))"
2024-10-24T13:03:35.784069117Z I1024 13:03:35.784008       1 secure_serving.go:210] Serving securely on [::]:8443
2024-10-24T13:03:35.784069117Z I1024 13:03:35.784047       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
2024-10-24T13:03:35.784069117Z I1024 13:03:35.784053       1 genericapiserver.go:673] [graceful-termination] waiting for shutdown to be initiated
2024-10-24T13:03:35.784149767Z I1024 13:03:35.784064       1 leaderelection.go:250] attempting to acquire leader lease openshift-service-ca/service-ca-controller-lock...
2024-10-24T13:03:35.794346375Z I1024 13:03:35.794275       1 leaderelection.go:260] successfully acquired lease openshift-service-ca/service-ca-controller-lock
2024-10-24T13:03:35.794497545Z I1024 13:03:35.794424       1 event.go:298] Event(v1.ObjectReference{Kind:"Lease", Namespace:"openshift-service-ca", Name:"service-ca-controller-lock", UID:"da5add63-2676-4999-a426-287084eff017", APIVersion:"coordination.k8s.io/v1", ResourceVersion:"6603", FieldPath:""}): type: 'Normal' reason: 'LeaderElection' service-ca-7949b5fbb4-gsbvx_2e03f8c1-f0ab-4093-8690-ee2d46ca2509 became leader
2024-10-24T13:03:35.796668005Z I1024 13:03:35.796624       1 base_controller.go:67] Waiting for caches to sync for APIServiceCABundleInjector
2024-10-24T13:03:35.796788915Z I1024 13:03:35.796633       1 base_controller.go:67] Waiting for caches to sync for CRDCABundleInjector
2024-10-24T13:03:35.796876315Z I1024 13:03:35.796648       1 base_controller.go:67] Waiting for caches to sync for ConfigMapCABundleInjector
2024-10-24T13:03:35.796960064Z I1024 13:03:35.796700       1 base_controller.go:67] Waiting for caches to sync for MutatingWebhookCABundleInjector
2024-10-24T13:03:35.796985944Z I1024 13:03:35.796967       1 base_controller.go:67] Waiting for caches to sync for LegacyVulnerableConfigMapCABundleInjector
2024-10-24T13:03:35.797065164Z I1024 13:03:35.797042       1 base_controller.go:67] Waiting for caches to sync for ValidatingWebhookCABundleInjector
2024-10-24T13:03:35.798145044Z I1024 13:03:35.798093       1 base_controller.go:67] Waiting for caches to sync for ServiceServingCertUpdateController
2024-10-24T13:03:35.798145044Z I1024 13:03:35.798128       1 base_controller.go:67] Waiting for caches to sync for ServiceServingCertController
2024-10-24T13:03:35.883079042Z I1024 13:03:35.882989       1 shared_informer.go:318] Caches are synced for RequestHeaderAuthRequestController
2024-10-24T13:03:35.883079042Z I1024 13:03:35.883020       1 shared_informer.go:318] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2024-10-24T13:03:35.883143482Z I1024 13:03:35.882995       1 shared_informer.go:318] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
2024-10-24T13:03:35.883430912Z I1024 13:03:35.883372       1 tlsconfig.go:178] "Loaded client CA" index=0 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"admin-kubeconfig-signer\" [] issuer=\"<self>\" (2024-10-24 12:49:31 +0000 UTC to 2034-10-22 12:49:31 +0000 UTC (now=2024-10-24 13:03:35.883337462 +0000 UTC))"
2024-10-24T13:03:35.883430912Z I1024 13:03:35.883406       1 tlsconfig.go:178] "Loaded client CA" index=1 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kubelet-signer\" [] issuer=\"<self>\" (2024-10-24 12:49:34 +0000 UTC to 2024-10-25 12:49:34 +0000 UTC (now=2024-10-24 13:03:35.883388972 +0000 UTC))"
2024-10-24T13:03:35.883430912Z I1024 13:03:35.883425       1 tlsconfig.go:178] "Loaded client CA" index=2 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kube-control-plane-signer\" [] issuer=\"<self>\" (2024-10-24 12:49:34 +0000 UTC to 2025-10-24 12:49:34 +0000 UTC (now=2024-10-24 13:03:35.883411082 +0000 UTC))"
2024-10-24T13:03:35.883511582Z I1024 13:03:35.883442       1 tlsconfig.go:178] "Loaded client CA" index=3 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kube-apiserver-to-kubelet-signer\" [] issuer=\"<self>\" (2024-10-24 12:49:34 +0000 UTC to 2025-10-24 12:49:34 +0000 UTC (now=2024-10-24 13:03:35.883428842 +0000 UTC))"
2024-10-24T13:03:35.883511582Z I1024 13:03:35.883462       1 tlsconfig.go:178] "Loaded client CA" index=4 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kubelet-bootstrap-kubeconfig-signer\" [] issuer=\"<self>\" (2024-10-24 12:49:32 +0000 UTC to 2034-10-22 12:49:32 +0000 UTC (now=2024-10-24 13:03:35.883446312 +0000 UTC))"
2024-10-24T13:03:35.883962192Z I1024 13:03:35.883913       1 tlsconfig.go:200] "Loaded serving cert" certName="serving-cert::/tmp/serving-cert-765449028/tls.crt::/tmp/serving-cert-765449028/tls.key" certDetail="\"localhost\" [serving] validServingFor=[localhost] issuer=\"service-ca-controller-signer@1729775015\" (2024-10-24 13:03:34 +0000 UTC to 2024-11-23 13:03:35 +0000 UTC (now=2024-10-24 13:03:35.883890032 +0000 UTC))"
2024-10-24T13:03:35.884579572Z I1024 13:03:35.884545       1 named_certificates.go:53] "Loaded SNI cert" index=0 certName="self-signed loopback" certDetail="\"apiserver-loopback-client@1729775015\" [serving] validServingFor=[apiserver-loopback-client] issuer=\"apiserver-loopback-client-ca@1729775015\" (2024-10-24 12:03:35 +0000 UTC to 2025-10-24 12:03:35 +0000 UTC (now=2024-10-24 13:03:35.884513742 +0000 UTC))"
2024-10-24T13:03:35.884751341Z I1024 13:03:35.884730       1 tlsconfig.go:178] "Loaded client CA" index=0 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"admin-kubeconfig-signer\" [] issuer=\"<self>\" (2024-10-24 12:49:31 +0000 UTC to 2034-10-22 12:49:31 +0000 UTC (now=2024-10-24 13:03:35.884706541 +0000 UTC))"
2024-10-24T13:03:35.884814472Z I1024 13:03:35.884768       1 tlsconfig.go:178] "Loaded client CA" index=1 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kubelet-signer\" [] issuer=\"<self>\" (2024-10-24 12:49:34 +0000 UTC to 2024-10-25 12:49:34 +0000 UTC (now=2024-10-24 13:03:35.884743832 +0000 UTC))"
2024-10-24T13:03:35.884863152Z I1024 13:03:35.884844       1 tlsconfig.go:178] "Loaded client CA" index=2 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kube-control-plane-signer\" [] issuer=\"<self>\" (2024-10-24 12:49:34 +0000 UTC to 2025-10-24 12:49:34 +0000 UTC (now=2024-10-24 13:03:35.884804872 +0000 UTC))"
2024-10-24T13:03:35.884883382Z I1024 13:03:35.884874       1 tlsconfig.go:178] "Loaded client CA" index=3 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kube-apiserver-to-kubelet-signer\" [] issuer=\"<self>\" (2024-10-24 12:49:34 +0000 UTC to 2025-10-24 12:49:34 +0000 UTC (now=2024-10-24 13:03:35.884852682 +0000 UTC))"
2024-10-24T13:03:35.884928642Z I1024 13:03:35.884905       1 tlsconfig.go:178] "Loaded client CA" index=4 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"kubelet-bootstrap-kubeconfig-signer\" [] issuer=\"<self>\" (2024-10-24 12:49:32 +0000 UTC to 2034-10-22 12:49:32 +0000 UTC (now=2024-10-24 13:03:35.884880032 +0000 UTC))"
2024-10-24T13:03:35.884943192Z I1024 13:03:35.884935       1 tlsconfig.go:178] "Loaded client CA" index=5 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"aggregator-signer\" [] issuer=\"<self>\" (2024-10-24 12:49:32 +0000 UTC to 2024-10-25 12:49:32 +0000 UTC (now=2024-10-24 13:03:35.884915462 +0000 UTC))"
2024-10-24T13:03:35.885505681Z I1024 13:03:35.885423       1 tlsconfig.go:200] "Loaded serving cert" certName="serving-cert::/tmp/serving-cert-765449028/tls.crt::/tmp/serving-cert-765449028/tls.key" certDetail="\"localhost\" [serving] validServingFor=[localhost] issuer=\"service-ca-controller-signer@1729775015\" (2024-10-24 13:03:34 +0000 UTC to 2024-11-23 13:03:35 +0000 UTC (now=2024-10-24 13:03:35.885402612 +0000 UTC))"
2024-10-24T13:03:35.885748361Z I1024 13:03:35.885688       1 named_certificates.go:53] "Loaded SNI cert" index=0 certName="self-signed loopback" certDetail="\"apiserver-loopback-client@1729775015\" [serving] validServingFor=[apiserver-loopback-client] issuer=\"apiserver-loopback-client-ca@1729775015\" (2024-10-24 12:03:35 +0000 UTC to 2025-10-24 12:03:35 +0000 UTC (now=2024-10-24 13:03:35.885668732 +0000 UTC))"
2024-10-24T13:03:35.897288410Z I1024 13:03:35.897165       1 base_controller.go:73] Caches are synced for MutatingWebhookCABundleInjector 
2024-10-24T13:03:35.897288410Z I1024 13:03:35.897201       1 base_controller.go:73] Caches are synced for APIServiceCABundleInjector 
2024-10-24T13:03:35.897288410Z I1024 13:03:35.897213       1 base_controller.go:110] Starting #1 worker of APIServiceCABundleInjector controller ...
2024-10-24T13:03:35.897288410Z I1024 13:03:35.897223       1 base_controller.go:110] Starting #2 worker of APIServiceCABundleInjector controller ...
2024-10-24T13:03:35.897288410Z I1024 13:03:35.897230       1 base_controller.go:110] Starting #3 worker of APIServiceCABundleInjector controller ...
2024-10-24T13:03:35.897288410Z I1024 13:03:35.897235       1 base_controller.go:110] Starting #4 worker of APIServiceCABundleInjector controller ...
2024-10-24T13:03:35.897288410Z I1024 13:03:35.897241       1 base_controller.go:110] Starting #5 worker of APIServiceCABundleInjector controller ...
2024-10-24T13:03:35.897288410Z I1024 13:03:35.897202       1 base_controller.go:110] Starting #1 worker of MutatingWebhookCABundleInjector controller ...
2024-10-24T13:03:35.897288410Z I1024 13:03:35.897275       1 base_controller.go:110] Starting #2 worker of MutatingWebhookCABundleInjector controller ...
2024-10-24T13:03:35.897361170Z I1024 13:03:35.897282       1 base_controller.go:110] Starting #3 worker of MutatingWebhookCABundleInjector controller ...
2024-10-24T13:03:35.897361170Z I1024 13:03:35.897290       1 base_controller.go:110] Starting #4 worker of MutatingWebhookCABundleInjector controller ...
2024-10-24T13:03:35.897361170Z I1024 13:03:35.897298       1 base_controller.go:110] Starting #5 worker of MutatingWebhookCABundleInjector controller ...
2024-10-24T13:03:35.897390750Z I1024 13:03:35.897370       1 base_controller.go:73] Caches are synced for ValidatingWebhookCABundleInjector 
2024-10-24T13:03:35.897402880Z I1024 13:03:35.897394       1 base_controller.go:110] Starting #1 worker of ValidatingWebhookCABundleInjector controller ...
2024-10-24T13:03:35.897413760Z I1024 13:03:35.897406       1 base_controller.go:110] Starting #2 worker of ValidatingWebhookCABundleInjector controller ...
2024-10-24T13:03:35.897424670Z I1024 13:03:35.897414       1 base_controller.go:110] Starting #3 worker of ValidatingWebhookCABundleInjector controller ...
2024-10-24T13:03:35.897424670Z I1024 13:03:35.897421       1 base_controller.go:110] Starting #4 worker of ValidatingWebhookCABundleInjector controller ...
2024-10-24T13:03:35.897435090Z I1024 13:03:35.897428       1 base_controller.go:110] Starting #5 worker of ValidatingWebhookCABundleInjector controller ...
2024-10-24T13:03:35.897531840Z I1024 13:03:35.897477       1 admissionwebhook.go:116] updating validatingwebhookconfiguration multus.openshift.io with the service signing CA bundle
2024-10-24T13:03:35.897574830Z I1024 13:03:35.897486       1 admissionwebhook.go:116] updating validatingwebhookconfiguration performance-addon-operator with the service signing CA bundle
2024-10-24T13:03:35.897638590Z I1024 13:03:35.897526       1 admissionwebhook.go:116] updating validatingwebhookconfiguration snapshot.storage.k8s.io with the service signing CA bundle
2024-10-24T13:03:35.898217069Z I1024 13:03:35.898185       1 base_controller.go:73] Caches are synced for ServiceServingCertController 
2024-10-24T13:03:35.898217069Z I1024 13:03:35.898196       1 base_controller.go:73] Caches are synced for ServiceServingCertUpdateController 
2024-10-24T13:03:35.898338660Z I1024 13:03:35.898252       1 base_controller.go:110] Starting #1 worker of ServiceServingCertUpdateController controller ...
2024-10-24T13:03:35.898338660Z I1024 13:03:35.898267       1 base_controller.go:110] Starting #2 worker of ServiceServingCertUpdateController controller ...
2024-10-24T13:03:35.898338660Z I1024 13:03:35.898278       1 base_controller.go:110] Starting #3 worker of ServiceServingCertUpdateController controller ...
2024-10-24T13:03:35.898338660Z I1024 13:03:35.898286       1 base_controller.go:110] Starting #4 worker of ServiceServingCertUpdateController controller ...
2024-10-24T13:03:35.898338660Z I1024 13:03:35.898295       1 base_controller.go:110] Starting #5 worker of ServiceServingCertUpdateController controller ...
2024-10-24T13:03:35.898354340Z I1024 13:03:35.898203       1 base_controller.go:110] Starting #1 worker of ServiceServingCertController controller ...
